OID,AIMSFID,WARD,DISTRICT,NAME,SHAPE_STArea__,SHAPE_STLength__
-1,201727221000810.000000000000000,,1001.01,Aubry Twp 0-01,13666221.607116699000000,15819.828925646711000
-1,201727221000911.000000000000000,,1002.01,Aubry Twp 0-02,220886784.267303470000000,87889.827451140241000
-1,201727221000912.000000000000000,,1003.01,Aubry Twp 0-03,29615461.215942383000000,23737.131372760057000
-1,201727221000913.000000000000000,,1003.02,Aubry Twp 0-03,233761031.579803470000000,92997.264835955371000
-1,201727221000914.000000000000000,,1003.03,Aubry Twp 0-03,31431707.614776611000000,23774.081252744974000
-1,201727221000915.000000000000000,,1003.04,Aubry Twp 0-03,94383204.054840088000000,39739.717516900564000
-1,201727221000916.000000000000000,,1004.01,Aubry Twp 0-04,255574901.066162110000000,65466.533456221296000
-1,201727221000917.000000000000000,,1005.01,Aubry Twp 0-05,28198518.651733398000000,21266.144350616847000
-1,201727221000918.000000000000000,,1006.01,Aubry Twp 0-06,28087241.428771973000000,21281.903145057186000
-1,201727221000919.000000000000000,,1007.01,Aubry Twp 0-07,32856.497497558594000,725.853320382041600
-1,201727221000920.000000000000000,,2001.01,Gardner Twp 0-01,60159855.274902344000000,47527.455860985137000
-1,201727221000921.000000000000000,,2001.02,Gardner Twp 0-01,122825804.111511230000000,67945.299524446746000
-1,201727221000922.000000000000000,,2002.01,Gardner Twp 0-02,62924621.774841309000000,31742.486009070974000
-1,201727221000923.000000000000000,,2002.02,Gardner Twp 0-02,368224198.153381350000000,118789.314645937590000
-1,201727221000924.000000000000000,,2002.03,Gardner Twp 0-02,20524853.185913086000000,20957.361783262713000
-1,201727221000925.000000000000000,,2002.04,Gardner Twp 0-02,35266646.950164795000000,33407.320492885112000
-1,201727221000926.000000000000000,,2003.01,Gardner Twp 0-03,5269772.594909668000000,12274.403315369043000
-1,201727221000927.000000000000000,,2004.01,Gardner Twp 0-04,4273707.036163330100000,8527.299581552957500
-1,201727221000928.000000000000000,,2005.01,Gardner Twp 0-05,13622279.668609619000000,27774.918811568681000
-1,201727221000929.000000000000000,,2006.01,Gardner Twp 0-06,1013319.419830322300000,5464.271898447488600
-1,201727221000930.000000000000000,,2007.01,Gardner Twp 0-07,7446270.536285400400000,11936.029303934218000
-1,201727221000931.000000000000000,,2008.01,Gardner Twp 0-08,1301390.944305419900000,5420.696076823876000
-1,201727221000932.000000000000000,,2009.01,Gardner Twp 0-09,4425714.711364746100000,16214.229361240381000
-1,201727221000933.000000000000000,,2010.01,Gardner Twp 0-10,9289573.721923828100000,17202.901056683746000
-1,201727221000934.000000000000000,,2011.01,Gardner Twp 0-11,143003079.058288570000000,71248.232387101336000
-1,201727221000935.000000000000000,,2012.01,Gardner Twp 0-12,332612.450317382810000,3164.739294225854800
-1,201727221000936.000000000000000,,2013.02,Gardner Twp 0-13,5215883.755767822300000,13155.153492139254000
-1,201727221000937.000000000000000,,3001.01,Lexington Twp 0-01,91877538.125000000000000,78690.841792020088000
-1,201727221000938.000000000000000,,3001.02,Lexington Twp 0-01,153204356.680419920000000,79443.604298616148000
-1,201727221000939.000000000000000,,3001.04,Lexington Twp 0-01,1189080678.972564700000000,276850.575198225150000
-1,201727221000940.000000000000000,,3002.01,Lexington Twp 0-02,4129909.981689453100000,8869.324760403127600
-1,201727221000941.000000000000000,,3003.01,Lexington Twp 0-03,5083985.749511718700000,14944.043438771027000
-1,201727221000942.000000000000000,,3004.01,Lexington Twp 0-04,372712.667297363280000,3216.137442551422700
-1,201727221000943.000000000000000,,3005.01,Lexington Twp 0-05,242269.229553222660000,2439.567256872474000
-1,201727221000944.000000000000000,,4001.01,McCamish Twp 0-01,454597894.470184330000000,209879.981872990170000
-1,201727221000945.000000000000000,,4001.02,McCamish Twp 0-01,7055153.932342529300000,10624.189855217124000
-1,201727221000946.000000000000000,,4002.01,McCamish Twp 0-02,676190914.905029300000000,110826.803400128160000
-1,201727221000947.000000000000000,,4003.01,McCamish Twp 0-03,46528.763031005859000,2319.402579181919900
-1,201727221000948.000000000000000,,6001.01,Olathe Twp 0-01,57173343.645416260000000,37634.529640633511000
-1,201727221000949.000000000000000,,6001.02,Olathe Twp 0-01,3883392.513305664100000,11740.572617624181000
-1,201727221000950.000000000000000,,6001.03,Olathe Twp 0-01,52294769.795471191000000,36651.155573408338000
-1,201727221000951.000000000000000,,6002.01,Olathe Twp 0-02,24702565.807037354000000,25439.119740626105000
-1,201727221000952.000000000000000,,6002.03,Olathe Twp 0-02,3088015.742065429700000,13321.124632928571000
-1,201727221000953.000000000000000,,6002.05,Olathe Twp 0-02,35865262.116607666000000,37994.280534264894000
-1,201727221000954.000000000000000,,6002.06,Olathe Twp 0-02,21762018.625610352000000,25360.643400279456000
-1,201727221000955.000000000000000,,6003.01,Olathe Twp 0-03,10737842.698852539000000,20034.236961580864000
-1,201727221000956.000000000000000,,6003.02,Olathe Twp 0-03,28168214.739654541000000,21244.741316061620000
-1,201727221000957.000000000000000,,6004.01,Olathe Twp 0-04,880588.553497314450000,4219.425562905414200
-1,201727221000958.000000000000000,,6005.01,Olathe Twp 0-05,420844.223602294920000,3185.351517382219800
-1,201727221000959.000000000000000,,6006.01,Olathe Twp 0-06,7005243.023834228500000,10577.918548974469000
-1,201727221000960.000000000000000,,6007.01,Olathe Twp 0-07,6962416.683288574200000,10584.766430966953000
-1,201727221000961.000000000000000,,6008.01,Olathe Twp 0-08,5266076.829437255900000,14622.415904859867000
-1,201727221000962.000000000000000,,6009.01,Olathe Twp 0-09,7629419.016296386700000,12038.635384517098000
-1,201727221000963.000000000000000,,6010.01,Olathe Twp 0-10,1941161.903533935500000,6646.791902136093100
-1,201727221000964.000000000000000,,6011.01,Olathe Twp 0-11,324149.901428222660000,2518.518804249321900
-1,201727221000965.000000000000000,,6012.01,Olathe Twp 0-12,123177.494995117190000,1418.045708760848100
-1,201727221000966.000000000000000,,6013.01,Olathe Twp 0-13,1008145.217620849600000,4544.450371480140300
-1,201727221000967.000000000000000,,6014.01,Olathe Twp 0-14,321462.048278808590000,2275.568815401868100
-1,201727221000968.000000000000000,,6015.01,Olathe Twp 0-15,134743.795562744140000,2920.670456967436600
-1,201727221000969.000000000000000,,6016.01,Olathe Twp 0-16,130668.039947509770000,1452.196892256309000
-1,201727221000970.000000000000000,,6017.01,Olathe Twp 0-17,3437309.775268554700000,7900.929756128989500
-1,201727221000971.000000000000000,,6024.01,Olathe Twp 0-24,345053.708374023440000,2365.152399647906800
-1,201727221000972.000000000000000,,6025.02,Olathe Twp 0-25,6187977.686645507800000,10991.219141408141000
-1,201727221000973.000000000000000,,6025.03,Olathe Twp 0-25,43536.003265380859000,843.834200248224420
-1,201727221000974.000000000000000,,6026.01,Olathe Twp 0-26,279355.822967529300000,2429.048266923234700
-1,201727221000975.000000000000000,,6027.01,Olathe Twp 0-27,6975944.073669433600000,10578.929889377763000
-1,201727221000976.000000000000000,,6032.01,Olathe Twp 0-32,903878.770568847660000,4023.247497138940200
-1,201727221000977.000000000000000,,6032.02,Olathe Twp 0-32,1406679.520172119100000,5422.750839847250100
-1,201727221000978.000000000000000,,7001.01,Oxford Twp 0-01,7103328.574645996100000,10644.976234394293000
-1,201727221000979.000000000000000,,7001.03,Oxford Twp 0-01,14277368.902282715000000,16003.990816125655000
-1,201727221000980.000000000000000,,7001.05,Oxford Twp 0-01,7040012.565734863300000,10628.797518293446000
-1,201727221000981.000000000000000,,7002.01,Oxford Twp 0-02,21065334.037689209000000,26497.843049548996000
-1,201727221000982.000000000000000,,7003.01,Oxford Twp 0-03,1924038.834899902300000,7236.077681934104500
-1,201727221000983.000000000000000,,7004.01,Oxford Twp 0-04,14503620.816040039000000,30678.441650682944000
-1,201727221000984.000000000000000,,7005.01,Oxford Twp 0-05,1751430.424652099600000,5295.004647793457500
-1,201727221000985.000000000000000,,7008.01,Oxford Twp 0-08,3607.523895263671900,399.267203090383930
-1,201727221000986.000000000000000,,7009.01,Oxford Twp 0-09,5759328.602050781300000,12756.614700787981000
-1,201727221000987.000000000000000,,7010.01,Oxford Twp 0-10,781392.659240722660000,4811.549478018464500
-1,201727221000988.000000000000000,,7011.01,Oxford Twp 0-11,6634673.520202636700000,10590.805532830265000
-1,201727221000989.000000000000000,,9001.01,Spring Hill Twp 0-01,56234100.073242187000000,47190.030535060119000
-1,201727221000990.000000000000000,,9001.02,Spring Hill Twp 0-01,41762510.730499268000000,36945.153236211554000
-1,201727221000991.000000000000000,,9001.03,Spring Hill Twp 0-01,243850753.153289790000000,88997.388817533923000
-1,201727221000992.000000000000000,,9001.04,Spring Hill Twp 0-01,171450759.447570800000000,78041.529893322979000
-1,201727221000993.000000000000000,,9001.05,Spring Hill Twp 0-01,11566934.927520752000000,20170.314286590467000
-1,201727221000994.000000000000000,,9001.06,Spring Hill Twp 0-01,55419926.029937744000000,50693.607528704626000
-1,201727221000995.000000000000000,,9002.01,Spring Hill Twp 0-02,87372.961242675781000,1299.845900854636300
-1,201727221000996.000000000000000,,9003.01,Spring Hill Twp 0-03,19474298.267181396000000,39358.096630042128000
-1,201727221000997.000000000000000,,9004.01,Spring Hill Twp 0-04,33452372.908752441000000,34537.105547613384000
-1,201727221000998.000000000000000,,9005.01,Spring Hill Twp 0-05,3382774.076568603500000,7851.926205214373100
-1,201727221000999.000000000000000,,A001.01,De Soto 0-01,59545618.550598145000000,42897.512780213750000
-1,201727221001000.000000000000000,,A002.01,De Soto 0-02,69621549.981872559000000,53375.685149106263000
-1,201727221001001.000000000000000,,A003.01,De Soto 0-03,140326284.961242680000000,122530.698916507740000
-1,201727221001002.000000000000000,,A003.02,De Soto 0-03,34115871.231994629000000,52359.574932668293000
-1,201727221001003.000000000000000,,A004.01,De Soto 0-04,1674449.708221435500000,5122.825112237184800
-1,201727221001004.000000000000000,,A005.01,De Soto 0-05,2930290.582214355500000,7678.689534656083200
-1,201727221001005.000000000000000,,A006.01,De Soto 0-06,4285831.585113525400000,11021.171752116630000
-1,201727221001006.000000000000000,,A007.01,De Soto 0-07,1110188.958221435500000,15199.536975636305000
-1,201727221001007.000000000000000,,A008.01,De Soto 0-08,495296.270629882810000,3146.720347620071200
-1,201727221001008.000000000000000,,A009.01,De Soto 0-09,87169.799957275391000,1181.093960583953000
-1,201727221001009.000000000000000,,B001.01,Edgerton 0-01,21290899.049835205000000,37189.678213807652000
-1,201727221001010.000000000000000,,B002.01,Edgerton 0-02,25675809.823638916000000,31034.787159811840000
-1,201727221001011.000000000000000,,B003.01,Edgerton 0-03,44038.040618896484000,839.410267724346910
-1,201727221001012.000000000000000,,B004.01,Edgerton 0-04,43638.143463134766000,835.591476299458580
-1,201727221001013.000000000000000,,B005.01,Edgerton 0-05,7720130.335937500000000,19049.599114921391000
-1,201727221001014.000000000000000,,B006.01,Edgerton 0-06,79431780.861389160000000,84634.886154863707000
-1,201727221001015.000000000000000,,B006.02,Edgerton 0-06,39267925.215698242000000,71515.466770049432000
-1,201727221001016.000000000000000,,C001.01,Gardner 0-01,26880506.151824951000000,33152.551751252140000
-1,201727221001117.000000000000000,,C001.02,Gardner 0-01,12077811.270965576000000,15794.343815140774000
-1,201727221001118.000000000000000,,C002.01,Gardner 0-02,3689191.108551025400000,9917.054087968341300
-1,201727221001119.000000000000000,,C002.02,Gardner 0-02,17233707.239501953000000,27999.952357752070000
-1,201727221001120.000000000000000,,C003.01,Gardner 0-03,21340131.700592041000000,25581.433527865844000
-1,201727221001121.000000000000000,,C004.01,Gardner 0-04,16491666.813323975000000,20654.902367747418000
-1,201727221001122.000000000000000,,C005.01,Gardner 0-05,2457714.874847412100000,7027.271935401587100
-1,201727221001123.000000000000000,,C006.01,Gardner 0-06,72972411.983459473000000,68980.602097258379000
-1,201727221001124.000000000000000,,C007.01,Gardner 0-07,6615841.357025146500000,13155.530716503990000
-1,201727221001125.000000000000000,,C008.01,Gardner 0-08,13294911.586883545000000,18079.769302238365000
-1,201727221001126.000000000000000,,C009.01,Gardner 0-09,22937335.258270264000000,33778.093982684884000
-1,201727221001127.000000000000000,,C010.02,Gardner 0-10,34059494.295349121000000,29594.209291482191000
-1,201727221001128.000000000000000,,C011.01,Gardner 0-11,62931.421356201172000,1352.544962119885900
-1,201727221001129.000000000000000,,C012.01,Gardner 0-12,1430933.779724121100000,7188.135716739126100
-1,201727221001130.000000000000000,,C013.01,Gardner 0-13,10027409.895782471000000,15755.755262605146000
-1,201727221001131.000000000000000,,C014.01,Gardner 0-14,15606822.214019775000000,24007.091110432648000
-1,201727221001132.000000000000000,,C015.01,Gardner 0-15,6985136.123199462900000,10991.900928413050000
-1,201727221001133.000000000000000,,C016.01,Gardner 0-16,5688.555389404296900,325.615877769460440
-1,201727221001134.000000000000000,D1,D101.01,Olathe 1-01,16477240.761627197000000,16816.570587963102000
-1,201727221001135.000000000000000,D1,D101.02,Olathe 1-01,45414448.727172852000000,29989.188253183209000
-1,201727221001136.000000000000000,D1,D102.01,Olathe 1-02,12152866.394531250000000,19818.490779672436000
-1,201727221001137.000000000000000,D1,D102.02,Olathe 1-02,3473446.186859130900000,8398.988061264557500
-1,201727221001138.000000000000000,D1,D103.01,Olathe 1-03,8091033.784240722700000,12487.049775132155000
-1,201727221001139.000000000000000,D1,D103.02,Olathe 1-03,4507406.827819824200000,20293.126274189712000
-1,201727221001140.000000000000000,D1,D104.01,Olathe 1-04,3016190.010192871100000,8347.036254469623600
