name,aimsfid
Edgerton 0-03,202027015212203
Spring Hill 0-02,202027015212204
Olathe 2-22,202027015212205
Spring Hill Twp 0-01,202027015212206
Spring Hill Twp 0-01,202027015212207
Merriam 1-02,202027015212208
Olathe 2-05,202027015212209
Shawnee 4-09,202027015212210
Leawood 1-03,202027015212211
De Soto 0-02,202027015212212
Overland Park 3-19,202027015212213
Roeland Park 3-01,202027015212214
Lenexa 4-10,202027015212215
Overland Park 2-23,202027015212216
Overland Park 6-18,202027015212217
Olathe 1-26,202027015212218
Olathe 1-17,202027015212219
Shawnee 2-13,202027015212220
Spring Hill 0-01,202027015212221
Shawnee 1-10,202027015212222
Olathe 1-26,202027015212223
Shawnee 2-04,202027015212224
Olathe 3-21,202027015212225
Olathe Twp 0-02,202027015212226
Lenexa 1-06,202027015212227
Gardner Twp 0-13,202027015212228
Fairway 1-02,202027015212229
Overland Park 2-06,202027015212230
Olathe 1-15,202027015212231
Gardner 0-02,202027015212232
Shawnee 2-09,202027015212233
Shawnee 2-03,202027015212234
Leawood 3-03,202027015212235
Gardner Twp 0-01,202027015212236
Overland Park 1-17,202027015212237
Overland Park 1-09,202027015212238
Overland Park 2-22,202027015212239
Shawnee 4-05,202027015212240
Merriam 1-04,202027015212241
Gardner Twp 0-19,202027015212242
Olathe 4-15,202027015212243
Overland Park 4-17,202027015212244
Leawood 3-04,202027015212245
Olathe 4-06,202027015212246
Merriam 1-03,202027015212247
Olathe 3-14,202027015212248
Olathe 1-08,202027015212249
Leawood 4-01,202027015212250
Roeland Park 1-01,202027015212251
Overland Park 3-16,202027015212252
Overland Park 1-22,202027015212253
Olathe 1-03,202027015212254
Overland Park 4-08,202027015212255
Olathe 2-06,202027015212256
Merriam 3-01,202027015212257
Spring Hill 0-04,202027015212258
Overland Park 4-03,202027015212259
Olathe 2-21,202027015212260
Overland Park 2-26,202027015212261
De Soto 0-05,202027015212262
Overland Park 3-13,202027015212263
Overland Park 5-17,202027015212264
Overland Park 2-10,202027015212265
Spring Hill Twp 0-05,202027015212266
Lenexa 2-11,202027015212267
Shawnee 3-05,202027015212268
Olathe 3-16,202027015212269
Gardner Twp 0-18,202027015212270
Overland Park 2-04,202027015212271
Leawood 4-04,202027015212272
Overland Park 4-03,202027015212273
Olathe 4-13,202027015212274
Shawnee 3-06,202027015212275
Overland Park 1-20,202027015212276
Lenexa 1-06,202027015212277
Spring Hill Twp 0-02,202027015212278
Overland Park 1-21,202027015212279
Overland Park 5-02,202027015212280
Overland Park 3-12,202027015212281
Gardner Twp 0-02,202027015212282
Olathe 2-05,202027015212283
Overland Park 1-12,202027015212284
Gardner Twp 0-05,202027015212285
Leawood 1-06,202027015212286
