name,namelsad,countyfp,vtdst,geosha
Carlyle Township,Carlyle Township Voting District,001,000010,46047747a62531c6e61331deb7c2e5d6b20dc7126b1a33dc4993840a7b307893
Cottage Grove Township,Cottage Grove Township Voting District,001,000020,284703f773d143365ee024659f7caaf42545c9832b231001b0ff1072d5b7a3e8
Deer Creek Township,Deer Creek Township Voting District,001,000030,01439aed2f0fd6ffba22a62e844af777c5daf9004754ef85b14839d028f7150b
Humboldt Township,Humboldt Township Voting District,001,00006A,0c97d0e7c1df95e3d483cb803b47f5654babb617184e3462e54e733bf93d9849
Humboldt Township Rural Enclave 2,Humboldt Township Rural Enclave 2,001,190020,b175bfeaafc85f6214f8072e70318669fa47656141ae1e4ff340bbd2a5a284ad
East Elm,East Elm Voting District,001,000040,c9f70b2df9a106d008687e42caeb2d773dc29cfc4400f334edfffcafe4018015
West Elm,West Elm Voting District,001,000210,5435881fb618b4aaa0f7af117ee5ec9b821ed5ee12de1a1f6e91e4829c864abe
Geneva Township,Geneva Township Voting District,001,000050,5cb357d2e11b0ec541413032b5686e36f1b79d2c0d9a2ab89141e11403c44abd
South Elmsmore,South Elmsmore Voting District,001,000190,06af61c3eee3fb03f2f15f2fc004f0411d9a8cf0d8f78f4041d7c2891fde0697
Humboldt Township Rural Enclave,Humboldt Township Rural Enclave Voting District,001,00006B,50da453d7b141caececdff95ca066ca86691df73320292d3e70324542927f6eb
Humboldt Township Split,Humboldt Township Split Voting District,001,00006C,c47b972cafb7b073cfa5b58ccafea1864571e35db05af7f596e0f952a55ad800
Iola Ward 3 Enclave,Iola Ward 3 Enclave,001,17003B,07c2233d825e8789917a4de16a40e0b483abecf2f19526ed3f5a933f439ffefc
Iola Ward 3 Exclave,Iola Ward 3 Exclave,001,17003C,07c2233d825e8789917a4de16a40e0b483abecf2f19526ed3f5a933f439ffefc
Humboldt Ward 1,Humboldt Ward 1,001,000070,399724ada46efffa794edf72f4f44bd2d44ffb96827112b1eb4543f0546bc8d3
Humboldt Ward 2,Humboldt Ward 2,001,000080,151a0aa58da2d5c2ef61fecfa46ac3ed6a3a6df9a33e6130aef4eaf9f77c9ad9
Logan Township,Logan Township Voting District,001,000130,bd6aa57f5b651986aed98c63c4e477bbf4d97997ca040ae06a6b5ea3879d2107
Iola Ward 1,Iola Ward 1,001,170010,19b1b75726c9c416765db12395571ebef82f948140c888d7f9c51f67a5e17d8f
Iola Ward 2,Iola Ward 2,001,170020,bc810215bc242ca7fe42113287349959ba5d2dc8ab0bb58e6716398dee6308d9
Marmaton Township,Marmaton Township Voting District,001,000140,ae800584f9db286b809e42c53bd3b0db8815158c1198dd4f378bbec8d5fdebd4
Salem Township,Salem Township Voting District,001,000180,d89f5b5c5cad313c48410475220dbc5aaaf2dd9413878fd5718e7b512f36c280
North Elmsmore,North Elmsmore Voting District,001,000150,f9717e9bd3dd7ff3a456a6d5b9532ffa5db8b92fe8bd0d74c2afc89f57ec30e1
North Iola Part A,North Iola Part A Voting District,001,00016A,ff6ca823b0e47f9d3ce0e474417c046ebedac9a25209c385030af46ae65f7e09
North Iola Part B,North Iola Part B Voting District,001,00016C,5af39b66338291cdb90d38e61cc3b8a484e45021bef9437c3eac25343c8f9b7d
South Iola,South Iola Voting District,001,00020A,816968bea367e70d55ae488c9870fdf39f893c2c7928c99dcf3049092cc00c3a
Osage Township,Osage Township Voting District,001,000170,4ee19d1bdf8701f49dfc1f18209b238c4b3c75040f5abf5a7726bf85f4af5962
South Iola Enclave,South Iola Enclave Voting District,001,00020B,3a43228eaaa2985f21b05de5686ab0cfa47eb5d107f7337418f65392cd0b0672
Humboldt Ward 2 Exclave,Humboldt Ward 2 Exclave,001,190010,857e8cf282586df03a72c481eea6da3191e805b28c2ce8f87fc4ea992d9a22e2
Iola Ward 3,Iola Ward 3,001,170030,cc7c0f576faf67e62ffc0f13d8378622306c1929ab5bf48c88df67306f316345
Iola Ward 4,Iola Ward 4,001,170040,66e2056e475434baad1e6879a438e5efcd48721050b775eb464867b6d5fa9e78
Colony,Colony Voting District,003,000010,81b99dba05b3eb0d1da52544b37b30be1f5348102ebc851ad314b0ccdc0c6907
Garnett Precinct 1,Garnett Precinct 1,003,00002A,e8b3f96142542ab90f8ef67a71da58cf79f986dbf6780e90b113c4c163c96d9f
Garnett Precinct 1 Exclave,Garnett Precinct 1 Exclave,003,00002B,44206866d2fa531b1241e36ec6c1a6cb681f8489b461d8ab518ef81d46030ce2
Garnett Precinct 3,Garnett Precinct 3,003,000040,b051b51c2187fdaab085b65ecc43e25ed878976dfb71f526104fe970a9299db5
Kincaid,Kincaid Voting District,003,000100,c989b47d76286bd4303222a1ed23aba98f9c024505cb59fb49ebd821877c9165
Lone Elm City,Lone Elm City Voting District,003,000120,7f5eea60b0df50f67b859b0a2112006660b56d167d87991bce61b65914dc80c7
Putnam Township,Putnam Township Voting District,003,000170,dd96212edb0413a421a78189bbade837edba2e25138ec76bc41f9dba60f9cf4e
Reeder Township,Reeder Township Voting District,003,000180,e2ff9ab29cc07dcd28db0329c91c81a7f09e8cf4ac5f554363d852fd5643dbd3
Rich Township,Rich Township Voting District,003,000190,2577685643af625c3194fffd5d73280bfe983cfb4a3e7d42c673fe734ccf54aa
Walker Township,Walker Township Voting District,003,000200,76014b2aaf2ef53fbe6aba8dda40c38eb66a460ab059ce512db0283072a680fa
Welda Township,Welda Township Voting District,003,000220,8deba251ad256d76845789aa76cd198f9eb8c5afd3445b444be0a6a88b621ee0
Westphalia City,Westphalia City Voting District,003,000230,45117db1bbd5dabe604581d15586ca1897acd31d54d0f468253b44f8a1d2054e
Westphalia Township,Westphalia Township Voting District,003,000240,e923bff9aa7902c170daf2ca945826ca13d1ee8af6c164ba760d6c9e7264d7fa
Jackson Township H5,Jackson Township H5 Voting District,003,200010,3b6530c5ec018b1233e378f7276a2aba1fbd6ab022dffeca0cc483afa25070cd
Jackson Township H9,Jackson Township H9 Voting District,003,200020,f78a60b4c34e7687e7bccc950b51c638196ecfe97f9cffd6ff45e1e34af74931
Garnett Precinct 2,Garnett Precinct 2,003,000030,2dddc00e1f304fbc01ccdec63b24b4290805d38779cf91167c8159566d0a775d
Garnett Precinct 4,Garnett Precinct 4,003,000050,3032363a5a16fe8f373ef7ba32f82e809570ae982774ff6380578e22003d3f82
Monroe Township,Monroe Township Voting District,003,00014A,85874ee397bec2ca15c52809c16276c0d22fc115e858e21d28301f48df4fcbe4
Greeley,Greeley Voting District,003,000060,43740846af1ff3140048fb61ba68392f62b72e02f29f9676c0ec7721ba16638f
Washington Township,Washington Township Voting District,003,000210,9ca4b1ebea6f3735cacfe54f8c944d5daea50b5b2f02e7b1a7f35d19814864a7
Indian Creek Township,Indian Creek Township Voting District,003,000080,a180c22ff31c100af4d4028f1dbd535c82ffd61326e85f5b5daaff1beb89dd2d
Lincoln Township,Lincoln Township Voting District,003,000110,0a48b0094c02bce466616cf77be2854bbe671d4b7f8d71721b6325b35fb2e8ae
Lone Elm Township,Lone Elm Township Voting District,003,000130,7acb6506782cf5efbcbdb247c662b521a09b60555d16be0dd39137cbee1d6bd6
Ozark Township,Ozark Township Voting District,003,000160,561de0ce10e5a83351b32f48f3c067be33bbb07660bd3ac20b4808b42e24878c
Atchison Precinct 1,Atchison Precinct 1,005,000010,2675112625ffb5b03870b2a7413bd2677e1af76c16deda284fb3f579f1ed5ea3
Atchison Precinct 2 East,Atchison Precinct 2 East,005,000020,00f22f4206ad090d41c5d454ef658802050710457efd73ee6665187e80538d13
Atchison Precinct 2 West,Atchison Precinct 2 West,005,000030,519b1fa78263fa7df58508441d0a461ce2159c7e36a1836bea30d15abb96c7fb
Atchison Precinct 3 East,Atchison Precinct 3 East,005,000040,6c869a974d807aa2d3ca465950ba6e5454459b9156408be3f4d208b8f31b4352
Atchison Precinct 3 West,Atchison Precinct 3 West,005,00005A,1a8a872270acef94338044eaadf3c7c2f1908625fde2709034de28886c92ea76
Atchison Precinct 5 North,Atchison Precinct 5 North,005,00007A,d78fd970bbe5ba587c022a51e573472c4c6d18749f9f2e56b107f665718286ca
Atchison Precinct 5 South,Atchison Precinct 5 South,005,00008A,c9cb0bfa61a0b7e0bc93be0bee0c0ee1af73a3a262ee0bed91a8d9014724e7d4
Walnut Township,Walnut Township Voting District,005,00017A,d81ccde38468b41d7c014ce291ad87c56f9248d96e107980789557d33a485cb3
Atchison Precinct 5 South Exclave D,Atchison Precinct 5 South Exclave D,005,180020,1c24fd9d0f03a61e811179f0c0417b622ecaabcc028cec7e8685a2dcf9482841
Atchison Precinct 4,Atchison Precinct 4,005,00006A,16187d4c0aa33c0b7cfbfaa8ce7b7a4cab16362d7587cee733266fb0c1119141
Atchison Precinct 4 Exclave A,Atchison Precinct 4 Exclave A,005,00006B,d3a83b89fcb0715ff8f2973baf361195d8bba597f78de2dcb32223b3aa3e6951
Atchison Precinct 4 Exclave B,Atchison Precinct 4 Exclave B,005,00006C,001718b0fcfb0c72f4348a243940746b4300d371b6cf7702e4c68da2e20c4cb4
Atchison Precinct 5 North Exclave B,Atchison Precinct 5 North Exclave B,005,00007C,a252bf1e0193a8b8737653af94e96a3f9813ee239c1c5135b5ca639b1ad284c9
Shannon Township,Shannon Township Voting District,005,00016A,b02afb6fd8bb951e3405128ddb12652d1b0b7a7053bb936bbe687e60c853db82
Atchison Precinct 5 North Exclave A,Atchison Precinct 5 North Exclave A,005,00007B,771b4abcf648072c616988279c1bf8b6c65a50f99b49e67f950dddaf543ddbc6
