"precinct","county_id","county","vtd_2012","census_tracts"
"CITY OF HUMBOLDT, Ward 1","1","Allen",000070,
"CITY OF HUMBOLDT- Ward 2","1","Allen",000080,
"LOGAN Township","1","Allen",120020,
"Logan","1","Allen",120020,
"NORTH ELSMORE Township","1","Allen",000150,
"North Iola Township","1","Allen",00016A,
"SOUTH ELSMORE Township","1","Allen",000190,
"SOUTH IOLA Township","1","Allen",00020A,
"WEST ELM Township","1","Allen",000210,
"Garnett Ward 1","2","Anderson",00002A,
"Garnett Ward 2","2","Anderson",000030,
"Garnett Ward 3","2","Anderson",000040,
"Garnett Ward 4","2","Anderson",000050,
"EAST 2ND","3","Atchison",000020,
"EAST 3RD","3","Atchison",000040,
"MT. PLEASANT","3","Atchison",100050,
"ONLY 1ST","3","Atchison",000010,
"ONLY 4TH","3","Atchison",00006A,
"WEST 2ND","3","Atchison",000030,
"WEST 3RD","3","Atchison",00005A,
"1st Med. Lodge","4","Barber",000110,
"2nd Med. Lodge","4","Barber",00012A,
"3rd Med. Lodge","4","Barber",000130,
"4th Med. Lodge","4","Barber",000140,
"5th Med. Lodge","4","Barber",000150,
"Med Lodge 2","4","Barber",00012A,
"Barton rural","5","Barton",,
"Great Bend City","5","Barton",,
"Andover Ward 1","8","Butler",,
"Andover Ward 2","8","Butler",140010,
"Andover Ward 3","8","Butler",140020,
"Andover Ward 4","8","Butler",140030,
"Augusta Township","8","Butler",,120040|120050
"Benton City/Benton Township","8","Butler",000070,
"Latham/Union","8","Butler",000440,
"Whitewater/Milton","8","Butler",,120080|120090
"Whitewater/Milton - 72","8","Butler",120080,
"Chase Ks","9","Chase",,
"Provisionals","9","Chase",,
"Belleville","10","Chautauqua",,
"Sedan","10","Chautauqua",,000120|000090
"Baxter Sprs Ward 4","11","Cherokee",,00004A|00004B
"Garden-Lowell","11","Cherokee",000170,
"Garden-Stanley Mines","11","Cherokee",,00018A|00018B|00018C
"Ross-Roseland","11","Cherokee",000280,
"Ross-West Mineral","11","Cherokee",000290,
"Spring Valley-Neutral","11","Cherokee",000360,
"Spring Valley-SV","11","Cherokee",,00037A|00037B|00037C
"Ward 1","14","Clay",00006A,
"Ward 2","14","Clay",000070,
"Ward 3","14","Clay",000080,
"Ward 4","14","Clay",000090,
"East. Lincoln","15","Cloud",,00011A|00011B
"Precinct 1 Ward 2","15","Cloud",000070,
