reported_name,precinct,census_tracts
110 & 111,,
128,,
129,,
130,,
131,,
132 & 124,,
21,,
218 & 220,,
231,,
233,,
234,,
235,,
236,,
241,,
242,,
247,,
319,,
320,,
321,,
323,,
324,,
325,,
326,,
411 & 505,,
414 & 415 & 537,,
416 & 428,,
429,,
433,,
437,,
534,,
535,,
538,,
539,,
612,,Wichita Precinct 611 H105|Wichita Precinct 612 S25
616 & 617,,
624,,
625,,
626,,
627,,
628,,
AT01,,Attica Precinct 01 S26 H101
AT07,,
AT08,Attica Precinct 06 A,
AT10,,Attica Precinct 01 S26 H101
AT11,,Attica Precinct 01 S26 H101
AT12,,Attica Precinct 01 S26 H101
AT13,,Attica Precinct 01 S26 H101
AT15,,Attica Precinct 01 S26 H101
AT16,,Attica Precinct 01 S26 H101
ATTICA PRECINCT 01,,
ATTICA PRECINCT 06,,
ATTICA PRECINCT 07,,
ATTICA PRECINCT 08,,
BA 03,,
BEL AIRE PRECINCT 03,,
DB13 & 24 & 27,,Derby Ward 01 Precinct 03|Derby Ward 01 Precinct 02 S16
DB15,Derby Ward 01 Precinct 04 A,
DB23,,Derby Ward 02 Precinct 02 S28 H81|Derby Ward 01 Precinct 02 S28
DB24,,
DB25,Derby Ward 02 Precinct 01 S26,
DB26,,
DB34,,
DB35,,
DB36,,
DB37,Derby Ward 03 Precinct 01 S26,
DB43,,
DB44,,
DERBY WARD 01 PRECINCT 01,Derby Ward 01 Precinct 01 S28,
DERBY WARD 01 PRECINCT 02,,Derby Ward 01 Precinct 02 S28
DERBY WARD 01 PRECINCT 05,Derby Ward 01 Precinct 04 A,,
DERBY WARD 02 PRECINCT 01,,Derby Ward 02 Precinct 01 S28
DERBY WARD 02 PRECINCT 02,Derby Ward 02 Precinct 02 S16 H82,
DERBY WARD 02 PRECINCT 03,,Derby Ward 02 Precinct 02 S28 H81|Derby Ward 01 Precinct 02 S28
DERBY WARD 02 PRECINCT 05,Derby Ward 02 Precinct 01 S26,
DERBY WARD 02 PRECINCT 06,,
DERBY WARD 03 PRECINCT 01,,
DERBY WARD 03 PRECINCT 02,,Derby Ward 03 Precinct 01 S28 A|Derby Ward 03 Precinct 02 S28|Derby Ward 02 Precinct 02 S28 H82|Derby Ward 02 Precinct 01 S28
DERBY WARD 03 PRECINCT 04,,
DERBY WARD 03 PRECINCT 05,,
DERBY WARD 03 PRECINCT 06,,
DERBY WARD 03 PRECINCT 07,Derby Ward 03 Precinct 01 S26
DERBY WARD 04 PRECINCT 01,,
DERBY WARD 04 PRECINCT 03,,
DERBY WARD 04 PRECINCT 04,,
GO,,Attica Precinct 01 S26 H101
GO01,,
GO04,,
GODDARD,,
GODDARD PRECINCT 01,,
GRAND,,
GRANT,,
GREELEY PRECINCT 01,,
GREELEY PRECINCT 02,,
GY04,,
GYPSUM PRECINCT 01,,
