precinct,aliases
Lake Quivira City 1,Lake Quivira City Precinct 1|Lake Quivira City Precinct 01
Edwardsville Precinct 1 S5,Edwardsville Ward 01 Precinct 01
Edwardsville Precinct 2 S5,Edwardsville Ward 01 Precinct 02
Edwardsville Precinct 1 S6,Edwardsville Ward 02 Precinct 01
Edwardsville Precinct 2 S6,Edwardsville Ward 02 Precinct 02
Kansas City Ward 7 Precinct 05 H37,Kansas City Ward 07 Precinct 10
Kansas City Ward 9 Precinct 08 H37,Kansas City Ward 09 Precinct 17
Kansas City Ward 10 Precinct 03 H34,Kansas City Ward 10 Precinct 03
Kansas City Ward 10 Precinct 03 H35,Kansas City Ward 10 Precinct 06
Kansas City Ward 11 Precinct 13 S5,Kansas City Ward 11 Precinct 13
Kansas City Ward 11 Precinct 13 S6,Kansas City Ward 11 Precinct 14
Kansas City Ward 12 Precinct 10 H37,Kansas City Ward 12 Precinct 10
Kansas City Ward 12 Precinct 10 H33,Kansas City Ward 12 Precinct 11
Kansas City Ward 14 Precinct 08 S5,Kansas City Ward 14 Precinct 08
Kansas City Ward 14 Precinct 08 S6,Kansas City Ward 14 Precinct 16
Kansas City Ward 14 Precinct 11 S5,Kansas City Ward 14 Precinct 11
Kansas City Ward 14 Precinct 11 S6,Kansas City Ward 14 Precinct 17
