VTD,VTD_S,CITY,CITY_CODE,WARD,PRECINCT,BPU,UG,KS_HOUSE,KS_SENATE,DATEMOD
20209601040,601040,Kansas City,1,14,9,2,5,36,5,2012/07/09
20209601100,601100,Kansas City,1,14,15,2,5,36,5,2012/07/09
20209120120,120120,Kansas City,1,14,8,2,5,36,5,2012/07/09
20209600870,600870,Kansas City,1,13,1,1,1,35,4,2012/07/09
20209601050,601050,Kansas City,1,14,10,2,5,36,5,2012/07/09
20209600960,600960,Kansas City,1,14,1,1,8,36,4,2012/07/09
20209601090,601090,Kansas City,1,14,14,2,5,36,5,2012/07/09
20209600920,600920,Kansas City,1,13,6,1,8,35,4,2012/07/09
20209600910,600910,Kansas City,1,13,5,1,1,35,4,2012/07/09
20209600880,600880,Kansas City,1,13,2,1,1,35,4,2012/07/09
20209600090,600090,Kansas City,1,1,1,1,1,35,4,2012/07/09
20209600120,600120,Kansas City,1,2,1,1,1,35,4,2012/07/09
20209600930,600930,Kansas City,1,13,7,1,8,35,4,2012/07/09
20209120140,120140,Kansas City,1,14,11,2,5,36,5,2012/07/09
20209601070,601070,Kansas City,1,14,12,2,5,36,5,2012/07/09
20209600590,600590,Kansas City,1,10,1,1,1,35,4,2012/07/09
20209600170,600170,Kansas City,1,3,1,1,1,35,4,2012/07/09
20209600180,600180,Kansas City,1,3,2,1,1,35,4,2012/07/09
20209600640,600640,Kansas City,1,11,1,1,1,35,4,2012/07/09
20209600890,600890,Kansas City,1,13,3,1,8,35,4,2012/07/09
20209600940,600940,Kansas City,1,13,8,1,8,35,4,2012/07/09
20209600130,600130,Kansas City,1,2,2,1,1,35,4,2012/07/09
20209600970,600970,Kansas City,1,14,2,1,8,35,4,2012/07/09
20209600990,600990,Kansas City,1,14,4,1,8,36,4,2012/07/09
20209601000,601000,Kansas City,1,14,5,1,5,36,4,2012/07/09
20209601010,601010,Kansas City,1,14,6,1,5,36,4,2012/07/09
20209140080,140080,Kansas City,1,10,2,1,4,35,4,2012/07/09
20209601020,601020,Kansas City,1,14,7,2,5,36,4,2012/07/09
20209601080,601080,Kansas City,1,14,13,2,5,36,5,2012/07/09
20209600660,600660,Kansas City,1,11,3,1,1,34,4,2012/07/09
20209600650,600650,Kansas City,1,11,2,1,1,34,4,2012/07/09
20209600900,600900,Kansas City,1,13,4,1,8,34,4,2012/07/09
20209600950,600950,Kansas City,1,13,9,1,8,34,4,2012/07/09
20209600190,600190,Kansas City,1,3,3,1,1,35,4,2012/07/09
20209600980,600980,Kansas City,1,14,3,1,8,35,4,2012/07/09
20209600200,600200,Kansas City,1,3,4,1,4,34,4,2012/07/09
20209600140,600140,Kansas City,1,2,3,1,1,34,4,2012/07/09
20209600620,600620,Kansas City,1,10,4,1,4,34,4,2012/07/09
20209600100,600100,Kansas City,1,1,2,1,4,34,4,2012/07/09
20209600160,600160,Kansas City,1,2,5,1,4,34,4,2012/07/09
20209600670,600670,Kansas City,1,11,4,1,4,34,4,2012/07/09
20209600680,600680,Kansas City,1,11,5,1,1,34,4,2012/07/09
20209600690,600690,Kansas City,1,11,6,1,8,34,4,2012/07/09
20209600700,600700,Kansas City,1,11,7,1,8,34,4,2012/07/09
20209600710,600710,Kansas City,1,11,8,2,8,34,4,2012/07/09
20209600720,600720,Kansas City,1,11,9,2,5,36,4,2012/07/09
20209600730,600730,Kansas City,1,11,10,2,5,36,4,2012/07/09
20209600740,600740,Kansas City,1,11,11,2,5,36,4,2012/07/09
20209600750,600750,Kansas City,1,11,12,2,7,36,6,2012/07/09
20209120080,120080,Kansas City,1,9,16,2,7,33,5,2012/07/09
20209600150,600150,Kansas City,1,2,4,1,4,34,4,2012/07/09
